id;bairro;cep
1259;JARDIM PAULISTANO;02814150
1260;JARDIM PAULISTANO;02814130
1261;JARDIM PAULISTANO;02814190
1262;JARDIM PAULISTANO;02814210
1263;JARDIM PAULISTANO;02813060
1264;JARDIM PAULISTANO;02813110
1265;JARDIM PAULISTANO;02812240
1266;JARDIM PAULISTANO;02813020
1267;JARDIM PAULISTANO;02814045
1268;JARDIM PAULISTANO;02814047
1269;JARDIM PAULISTANO;02814050
1270;JARDIM PAULISTANO;02814080
1271;JARDIM PAULISTANO;02812080
1272;JARDIM PAULISTANO;02814070
1273;JARDIM PAULISTANO;02813074
1274;JARDIM PAULISTANO;02813076
1275;JARDIM PAULISTANO;02813078
1276;JARDIM PAULISTANO;02812096
1277;JARDIM PAULISTANO;02816030
1278;JARDIM PAULISTANO;02813100
1279;JARDIM PAULISTANO;02812095
1280;JARDIM PAULISTANO;02813073
1281;JARDIM PAULISTANO;02813050
1282;JARDIM PAULISTANO;02812250
1283;JARDIM PAULISTANO;02812220
1284;JARDIM PAULISTANO;02812005
1285;JARDIM PAULISTANO;02814160
1286;JARDIM PAULISTANO;02814170
1287;JARDIM PAULISTANO;02814120
1288;JARDIM PAULISTANO;02812270
1289;JARDIM PAULISTANO;02814240
1290;JARDIM PAULISTANO;02812060
1291;JARDIM PAULISTANO;02812210
1292;JARDIM PAULISTANO;02812040
1293;JARDIM PAULISTANO;02812070
1294;JARDIM PAULISTANO;02814073
1295;JARDIM PAULISTANO;02813030
1296;JARDIM PAULISTANO;02812230
1297;JARDIM PAULISTANO;02812200
1298;JARDIM PAULISTANO;02812180
1299;JARDIM PAULISTANO;02812150
1300;JARDIM PAULISTANO;02814200
1301;JARDIM PAULISTANO;02812170
1302;JARDIM PAULISTANO;02812120
1303;JARDIM PAULISTANO;02812050
1304;JARDIM PAULISTANO;02812110
1305;JARDIM PAULISTANO;02814060
1306;JARDIM PAULISTANO;02813010
1307;JARDIM PAULISTANO;02812260
1308;JARDIM PAULISTANO;02812190
1309;JARDIM PAULISTANO;02812090
1310;JARDIM PAULISTANO;02814090
1311;JARDIM PAULISTANO;02814310
1312;JARDIM PAULISTANO;02814180
1313;JARDIM PAULISTANO;02814290
1314;JARDIM PAULISTANO;02812010
1315;JARDIM PAULISTANO;02812300
1316;JARDIM PAULISTANO;02814270
1317;JARDIM PAULISTANO;02814270
1318;JARDIM PAULISTANO;02812280
1319;JARDIM PAULISTANO;02810000
1320;JARDIM PAULISTANO;01508001
1321;JARDIM PAULISTANO;02981010
1322;JARDIM PAULISTANO;02982205
1323;JARDIM PAULISTANO;02982070
1324;JARDIM PAULISTANO;02982080
1325;JARDIM PAULISTANO;02981050
